timestamp,intersection_id,approach,vehicle_class,count,avg_speed_kmh,source_mode,source_id
2026-09-01T08:00:00Z,PUNE-INT-ALANKAR,NORTHBOUND,TWO_WHEELER,142,32.4,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:00:00Z,PUNE-INT-ALANKAR,NORTHBOUND,FOUR_WHEELER,68,24.1,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:00:00Z,PUNE-INT-ALANKAR,NORTHBOUND,BUS,12,18.5,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:00:00Z,PUNE-INT-ALANKAR,NORTHBOUND,AUTO_RICKSHAW,45,22.0,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:15:00Z,PUNE-INT-ALANKAR,NORTHBOUND,TWO_WHEELER,186,28.2,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:15:00Z,PUNE-INT-ALANKAR,NORTHBOUND,FOUR_WHEELER,89,19.8,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:15:00Z,PUNE-INT-ALANKAR,NORTHBOUND,BUS,15,14.2,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:15:00Z,PUNE-INT-ALANKAR,NORTHBOUND,AUTO_RICKSHAW,58,17.6,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:30:00Z,PUNE-INT-ALANKAR,NORTHBOUND,TWO_WHEELER,220,21.5,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:30:00Z,PUNE-INT-ALANKAR,NORTHBOUND,FOUR_WHEELER,110,15.2,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:30:00Z,PUNE-INT-ALANKAR,NORTHBOUND,BUS,18,11.0,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:30:00Z,PUNE-INT-ALANKAR,NORTHBOUND,AUTO_RICKSHAW,72,13.8,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:45:00Z,PUNE-INT-ALANKAR,NORTHBOUND,TWO_WHEELER,210,23.0,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:45:00Z,PUNE-INT-ALANKAR,NORTHBOUND,FOUR_WHEELER,98,16.5,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:45:00Z,PUNE-INT-ALANKAR,NORTHBOUND,BUS,16,12.4,REPLAY,mendeley:d03-pune-counts
2026-09-01T08:45:00Z,PUNE-INT-ALANKAR,NORTHBOUND,AUTO_RICKSHAW,64,15.1,REPLAY,mendeley:d03-pune-counts
