timestamp,client_id,active_power_kw,power_factor,ambient_temp_c,source_mode,source_id
2026-09-01T00:00:00Z,client-001,2150.4,0.92,23.5,REPLAY,uci-electricity:ld2011-2014
2026-09-01T01:00:00Z,client-001,2080.1,0.91,22.8,REPLAY,uci-electricity:ld2011-2014
2026-09-01T02:00:00Z,client-001,2020.5,0.91,22.1,REPLAY,uci-electricity:ld2011-2014
2026-09-01T03:00:00Z,client-001,1980.0,0.90,21.8,REPLAY,uci-electricity:ld2011-2014
2026-09-01T04:00:00Z,client-001,1950.2,0.90,21.5,REPLAY,uci-electricity:ld2011-2014
2026-09-01T05:00:00Z,client-001,2050.8,0.91,21.9,REPLAY,uci-electricity:ld2011-2014
2026-09-01T06:00:00Z,client-001,2280.6,0.93,22.7,REPLAY,uci-electricity:ld2011-2014
2026-09-01T07:00:00Z,client-001,2650.0,0.94,24.2,REPLAY,uci-electricity:ld2011-2014
2026-09-01T08:00:00Z,client-001,3150.3,0.95,26.0,REPLAY,uci-electricity:ld2011-2014
2026-09-01T09:00:00Z,client-001,3850.5,0.96,28.4,REPLAY,uci-electricity:ld2011-2014
2026-09-01T10:00:00Z,client-001,4450.2,0.97,30.2,REPLAY,uci-electricity:ld2011-2014
2026-09-01T11:00:00Z,client-001,4820.0,0.97,31.8,REPLAY,uci-electricity:ld2011-2014
2026-09-01T12:00:00Z,client-001,5120.7,0.98,32.5,REPLAY,uci-electricity:ld2011-2014
2026-09-01T13:00:00Z,client-001,5240.1,0.98,33.0,REPLAY,uci-electricity:ld2011-2014
2026-09-01T14:00:00Z,client-001,5190.5,0.98,32.8,REPLAY,uci-electricity:ld2011-2014
2026-09-01T15:00:00Z,client-001,5050.0,0.97,32.0,REPLAY,uci-electricity:ld2011-2014
2026-09-01T16:00:00Z,client-001,4890.3,0.97,30.8,REPLAY,uci-electricity:ld2011-2014
2026-09-01T17:00:00Z,client-001,4650.8,0.96,29.5,REPLAY,uci-electricity:ld2011-2014
2026-09-01T18:00:00Z,client-001,4420.0,0.96,28.2,REPLAY,uci-electricity:ld2011-2014
2026-09-01T19:00:00Z,client-001,4210.4,0.95,27.1,REPLAY,uci-electricity:ld2011-2014
2026-09-01T20:00:00Z,client-001,3850.0,0.94,26.2,REPLAY,uci-electricity:ld2011-2014
2026-09-01T21:00:00Z,client-001,3320.6,0.93,25.4,REPLAY,uci-electricity:ld2011-2014
2026-09-01T22:00:00Z,client-001,2780.0,0.92,24.6,REPLAY,uci-electricity:ld2011-2014
2026-09-01T23:00:00Z,client-001,2350.2,0.92,24.0,REPLAY,uci-electricity:ld2011-2014
