timestamp,segment_id,speed_kmh,ambient_temp_c,target_speed_15m,speed_lag_5m,speed_lag_10m,speed_lag_15m,speed_lag_30m,speed_lag_60m,speed_roll_mean_30m,speed_roll_std_30m,speed_roll_mean_60m,speed_roll_min_60m,speed_roll_max_60m,sin_hour,cos_hour,day_of_week,is_weekend,is_peak_hour
2026-09-01 01:00:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,45.0,16.0,52.0,50.78,45.85,49.57,46.73,47.57,48.14333333333334,1.809371898385369,47.35,39.67,50.78,0.25881904510252074,0.9659258262890683,1,0,0
2026-09-01 01:05:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,48.36,16.5,44.71,45.0,50.78,45.85,48.14,49.13,47.855,2.1796031748921645,47.13583333333333,39.67,50.78,0.27982901403099203,0.9600498543859287,1,0,0
2026-09-01 01:10:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,47.94,16.5,48.66,48.36,45.0,50.78,47.79,39.67,47.89166666666667,2.1871937880916428,47.07166666666666,39.67,50.78,0.3007057995042732,0.9537169507482269,1,0,0
2026-09-01 01:15:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,52.0,15.8,46.1,47.94,48.36,45.0,49.57,46.95,47.916666666666664,2.186656504041426,47.76083333333333,45.0,50.78,0.3214394653031616,0.9469301294951057,1,0,0
2026-09-01 01:20:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,44.71,15.5,43.61,52.0,47.94,48.36,45.85,46.44,48.321666666666665,2.7152636458853627,48.181666666666665,45.0,52.0,0.3420201433256687,0.9396926207859084,1,0,0
2026-09-01 01:25:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,48.66,17.0,49.1,44.71,52.0,47.94,50.78,49.58,48.13166666666666,2.9523442662851274,48.0375,44.71,52.0,0.36243803828370164,0.9320078692827986,1,0,0
2026-09-01 01:30:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,46.1,15.4,44.17,48.66,44.71,52.0,45.0,46.73,47.778333333333336,2.686934436614831,47.96083333333333,44.71,52.0,0.3826834323650898,0.9238795325112867,1,0,0
2026-09-01 01:35:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,43.61,16.6,46.91,46.1,48.66,44.71,48.36,48.14,47.961666666666666,2.489742289207191,47.90833333333333,44.71,52.0,0.40274668985873724,0.9153114791194471,1,0,0
2026-09-01 01:40:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,49.1,16.5,49.55,43.61,46.1,48.66,47.94,47.79,47.169999999999995,3.033545780106176,47.530833333333334,43.61,52.0,0.4226182617406994,0.9063077870366499,1,0,0
2026-09-01 01:45:00+00:00,urn:ngsi-ld:RoadSegment:PUNE:SEG-NR-EB-01,44.17,16.2,48.88,49.1,43.61,46.1,52.0,49.57,47.36333333333334,3.127930092995471,47.63999999999999,43.61,52.0,0.44228869021900125,0.8968727415326884,1,0,0
